region,year,matrix,total_prelevements,non_conformes_France,non_conformes_Danemark,non_conformes_USA,pourcentage_France,pourcentage_Danemark,pourcentage_USA
Bretagne,2023,Biota,6,5,5,5,83.33333333333334,83.33333333333334,83.33333333333334
Bretagne,2023,Groundwater,20,17,17,3,85,85,15
Bretagne,2023,Sediment,1,1,1,1,100,100,100
Bretagne,2023,Surface water,136,0,0,0,0,0,0
Bretagne,2024,Biota,1,0,1,1,0,100,100
Bretagne,2024,Drinking water,2,0,0,0,0,0,0
Bretagne,2024,Groundwater,20,18,17,2,90,85,10
Bretagne,2024,Surface water,8,0,0,0,0,0,0
Centre-Val de Loire,2009,Groundwater,4,4,4,0,100,100,0
Centre-Val de Loire,2009,Surface water,6,0,0,0,0,0,0
Centre-Val de Loire,2010,Groundwater,3,3,3,0,100,100,0
Centre-Val de Loire,2010,Surface water,2,0,0,0,0,0,0
Centre-Val de Loire,2011,Groundwater,7,6,2,0,85.71428571428571,28.57142857142857,0
Centre-Val de Loire,2013,Surface water,1,0,0,0,0,0,0
Centre-Val de Loire,2015,Sediment,3,3,3,3,100,100,100
Centre-Val de Loire,2016,Surface water,169,0,0,0,0,0,0
Centre-Val de Loire,2017,Groundwater,23,23,11,0,100,47.82608695652174,0
Centre-Val de Loire,2017,Sediment,7,6,6,6,85.71428571428571,85.71428571428571,85.71428571428571
Centre-Val de Loire,2017,Surface water,211,0,0,0,0,0,0
Centre-Val de Loire,2018,Biota,32,32,32,32,100,100,100
Centre-Val de Loire,2018,Groundwater,11,11,8,0,100,72.72727272727273,0
Centre-Val de Loire,2018,Sediment,8,2,2,2,25,25,25
Centre-Val de Loire,2018,Surface water,158,0,0,0,0,0,0
Centre-Val de Loire,2019,Biota,4,4,4,4,100,100,100
Centre-Val de Loire,2019,Groundwater,16,16,8,0,100,50,0
Centre-Val de Loire,2019,Sediment,1,1,1,1,100,100,100
Centre-Val de Loire,2019,Surface water,311,0,0,0,0,0,0
Centre-Val de Loire,2020,Biota,3,3,3,3,100,100,100
Centre-Val de Loire,2020,Groundwater,22,22,14,0,100,63.63636363636363,0
Centre-Val de Loire,2020,Surface water,333,0,0,0,0,0,0
Centre-Val de Loire,2021,Biota,8,8,8,8,100,100,100
Centre-Val de Loire,2021,Groundwater,26,21,15,0,80.76923076923077,57.692307692307686,0
Centre-Val de Loire,2021,Sediment,1,0,0,0,0,0,0
Centre-Val de Loire,2021,Surface water,382,0,0,0,0,0,0
Centre-Val de Loire,2022,Biota,7,5,6,6,71.42857142857143,85.71428571428571,85.71428571428571
Centre-Val de Loire,2022,Groundwater,26,22,19,0,84.61538461538461,73.07692307692307,0
Centre-Val de Loire,2022,Sediment,1,1,1,1,100,100,100
Centre-Val de Loire,2022,Surface water,342,0,0,0,0,0,0
Centre-Val de Loire,2023,Biota,4,4,4,4,100,100,100
Centre-Val de Loire,2023,Groundwater,46,28,24,0,60.86956521739131,52.17391304347826,0
Centre-Val de Loire,2023,Surface water,302,0,0,0,0,0,0
Centre-Val de Loire,2024,Drinking water,3,0,0,0,0,0,0
Centre-Val de Loire,2024,Groundwater,64,46,38,1,71.875,59.375,1.5625
Centre-Val de Loire,2024,Surface water,217,0,0,0,0,0,0
Centre-Val de Loire,2024,Unknown,2,0,0,0,0,0,0
Corse,2018,Groundwater,3,3,3,1,100,100,33.33333333333333
Corse,2018,Surface water,3,0,0,0,0,0,0
Corse,2019,Groundwater,5,4,4,0,80,80,0
Corse,2019,Surface water,4,0,0,0,0,0,0
Corse,2020,Groundwater,4,3,3,0,75,75,0
Corse,2020,Surface water,2,0,0,0,0,0,0
Corse,2021,Groundwater,4,1,1,0,25,25,0
Corse,2021,Surface water,2,0,0,0,0,0,0
Corse,2022,Groundwater,3,3,3,0,100,100,0
Corse,2022,Surface water,10,0,0,0,0,0,0
Corse,2023,Groundwater,5,4,3,0,80,60,0
Corse,2023,Surface water,9,0,0,0,0,0,0
Corse,2024,Groundwater,3,3,3,0,100,100,0
Grand Est,2006,Surface water,1,0,0,0,0,0,0
Grand Est,2008,Surface water,15,0,0,0,0,0,0
Grand Est,2009,Groundwater,18,18,18,3,100,100,16.666666666666664
Grand Est,2009,Surface water,19,0,0,0,0,0,0
Grand Est,2010,Groundwater,2,2,2,0,100,100,0
Grand Est,2010,Surface water,16,0,0,0,0,0,0
Grand Est,2011,Groundwater,17,15,10,0,88.23529411764706,58.82352941176471,0
Grand Est,2011,Surface water,13,0,0,0,0,0,0
Grand Est,2012,Surface water,16,0,0,0,0,0,0
Grand Est,2013,Surface water,32,0,0,0,0,0,0
Grand Est,2014,Surface water,19,0,0,0,0,0,0
Grand Est,2015,Groundwater,175,166,126,3,94.85714285714286,72,1.7142857142857144
Grand Est,2015,Surface water,19,0,0,0,0,0,0
Grand Est,2016,Groundwater,1138,321,264,10,28.207381370826013,23.198594024604567,0.8787346221441126
Grand Est,2016,Sediment,1,1,1,1,100,100,100
Grand Est,2016,Surface water,556,0,0,0,0,0,0
Grand Est,2017,Groundwater,202,193,157,6,95.54455445544554,77.72277227722772,2.9702970297029703
Grand Est,2017,Sediment,4,4,4,4,100,100,100
Grand Est,2017,Surface water,1189,0,0,0,0,0,0
Grand Est,2018,Groundwater,178,149,113,5,83.70786516853933,63.48314606741573,2.8089887640449436
Grand Est,2018,Surface water,1220,0,0,0,0,0,0
Grand Est,2019,Biota,4,4,4,4,100,100,100
Grand Est,2019,Groundwater,307,255,213,10,83.06188925081433,69.38110749185668,3.257328990228013
Grand Est,2019,Surface water,2006,0,0,0,0,0,0
Grand Est,2020,Biota,5,5,5,5,100,100,100
Grand Est,2020,Groundwater,360,292,223,9,81.11111111111111,61.94444444444444,2.5
Grand Est,2020,Surface water,1109,0,0,0,0,0,0
Grand Est,2021,Biota,2,2,2,2,100,100,100
Grand Est,2021,Groundwater,430,290,228,5,67.44186046511628,53.02325581395348,1.1627906976744187
Grand Est,2021,Surface water,1273,0,0,0,0,0,0
Grand Est,2022,Biota,7,5,7,7,71.42857142857143,100,100
Grand Est,2022,Groundwater,344,249,191,5,72.38372093023256,55.52325581395349,1.4534883720930232
Grand Est,2022,Surface water,1236,0,0,0,0,0,0
Grand Est,2023,Biota,8,4,8,8,50,100,100
Grand Est,2023,Groundwater,41,35,22,2,85.36585365853658,53.65853658536586,4.878048780487805
Grand Est,2023,Surface water,366,0,0,0,0,0,0
Grand Est,2024,Biota,9,7,9,9,77.77777777777779,100,100
Grand Est,2024,Drinking water,57,0,0,0,0,0,0
Grand Est,2024,Groundwater,62,45,27,1,72.58064516129032,43.54838709677419,1.6129032258064515
Grand Est,2024,Surface water,384,0,0,0,0,0,0
Grand Est,2024,Unknown,1,0,0,0,0,0,0
Guadeloupe,2012,Groundwater,3,3,2,0,100,66.66666666666666,0
Guadeloupe,2019,Surface water,1,0,0,0,0,0,0
Guadeloupe,2022,Groundwater,2,2,2,0,100,100,0
Guyane,2012,Groundwater,6,6,4,0,100,66.66666666666666,0
Guyane,2017,Groundwater,1,1,0,0,100,0,0
Guyane,2019,Surface water,1,0,0,0,0,0,0
Guyane,2023,Surface water,1,0,0,0,0,0,0
Guyane,2024,Surface water,1,0,0,0,0,0,0
Hauts-de-France,2009,Groundwater,5,5,5,0,100,100,0
Hauts-de-France,2010,Groundwater,7,6,6,0,85.71428571428571,85.71428571428571,0
Hauts-de-France,2010,Surface water,2,0,0,0,0,0,0
Hauts-de-France,2011,Groundwater,18,16,13,0,88.88888888888889,72.22222222222221,0
Hauts-de-France,2012,Surface water,1,0,0,0,0,0,0
Hauts-de-France,2013,Surface water,5,0,0,0,0,0,0
Hauts-de-France,2014,Groundwater,93,92,36,0,98.9247311827957,38.70967741935484,0
Hauts-de-France,2016,Surface water,542,0,0,0,0,0,0
