year,pfas_sum
2006,112.57
2008,744.07
2009,5186.620000000002
2010,9799.502276000005
2011,12148
2012,22361.004999999997
2013,122616.5
2014,10742.45
2015,234334.612091
2016,547435.2840000055
2017,2976961
2018,1548521.4100000032
2019,1118756.0000000026
2020,963900.6000000006
2021,1036388.4999999986
2022,2744453.900000005
2023,2119781.4000000022
2024,349599.33999999956
