region,year,matrix,total_prelevements,non_conformes_france,non_conformes_danemark,non_conformes_usa,pourcentage_france,pourcentage_danemark,pourcentage_usa
Bourgogne-Franche-Comté,2021,Groundwater,69,0,0,0,0,0,0
Bourgogne-Franche-Comté,2021,Surface water,271,0,39,37,0,14.391143911439114,13.653136531365314
Bourgogne-Franche-Comté,2022,Biota,30,0,0,0,0,0,0
Bourgogne-Franche-Comté,2022,Groundwater,66,0,0,0,0,0,0
Bourgogne-Franche-Comté,2022,Surface water,565,0,455,220,0,80.53097345132744,38.93805309734513
Bourgogne-Franche-Comté,2023,Biota,9,0,0,0,0,0,0
Bourgogne-Franche-Comté,2023,Groundwater,141,0,0,0,0,0,0
Bourgogne-Franche-Comté,2023,Surface water,445,0,361,202,0,81.12359550561797,45.39325842696629
Bourgogne-Franche-Comté,2024,Biota,4,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Drinking water,9,0,4,2,0,44.44444444444444,22.22222222222222
Bourgogne-Franche-Comté,2024,Groundwater,150,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Surface water,232,0,75,20,0,32.327586206896555,8.620689655172415
Bretagne,2009,Surface water,3,0,3,3,0,100,100
Bretagne,2010,Surface water,1,0,1,1,0,100,100
Bretagne,2011,Groundwater,10,0,0,0,0,0,0
Bretagne,2016,Sediment,5,0,0,0,0,0,0
Bretagne,2017,Groundwater,13,0,0,0,0,0,0
Bretagne,2017,Sediment,10,0,0,0,0,0,0
Bretagne,2018,Biota,27,0,0,0,0,0,0
Bretagne,2018,Groundwater,26,0,0,0,0,0,0
Bretagne,2018,Surface water,12,0,12,10,0,100,83.33333333333334
Bretagne,2019,Biota,1,0,0,0,0,0,0
Bretagne,2019,Groundwater,39,0,0,0,0,0,0
Bretagne,2019,Sediment,2,0,0,0,0,0,0
Bretagne,2019,Surface water,182,0,140,53,0,76.92307692307693,29.120879120879124
Bretagne,2020,Biota,1,0,0,0,0,0,0
Bretagne,2020,Groundwater,17,0,0,0,0,0,0
Bretagne,2020,Surface water,255,0,188,51,0,73.72549019607844,20
Bretagne,2021,Groundwater,22,0,0,0,0,0,0
Bretagne,2021,Sediment,1,0,0,0,0,0,0
Bretagne,2021,Surface water,298,0,193,61,0,64.76510067114094,20.469798657718123
Bretagne,2022,Groundwater,11,0,0,0,0,0,0
Bretagne,2022,Sediment,1,0,0,0,0,0,0
Bretagne,2022,Surface water,163,0,120,60,0,73.61963190184049,36.809815950920246
Bretagne,2023,Biota,6,0,0,0,0,0,0
Bretagne,2023,Groundwater,20,0,0,0,0,0,0
Bretagne,2023,Sediment,1,0,0,0,0,0,0
Bretagne,2023,Surface water,136,0,93,47,0,68.38235294117648,34.55882352941176
Bretagne,2024,Biota,1,0,0,0,0,0,0
Bretagne,2024,Drinking water,2,0,0,0,0,0,0
Bretagne,2024,Groundwater,20,0,0,0,0,0,0
Bretagne,2024,Surface water,8,0,3,4,0,37.5,50
Centre-Val de Loire,2009,Groundwater,4,0,0,0,0,0,0
Centre-Val de Loire,2009,Surface water,6,0,6,4,0,100,66.66666666666666
Centre-Val de Loire,2010,Groundwater,3,0,0,0,0,0,0
Centre-Val de Loire,2010,Surface water,2,0,2,2,0,100,100
Centre-Val de Loire,2011,Groundwater,7,0,0,0,0,0,0
Centre-Val de Loire,2013,Surface water,1,0,1,1,0,100,100
Centre-Val de Loire,2015,Sediment,3,0,0,0,0,0,0
Centre-Val de Loire,2016,Surface water,169,0,160,74,0,94.67455621301777,43.786982248520715
Centre-Val de Loire,2017,Groundwater,23,0,0,0,0,0,0
Centre-Val de Loire,2017,Sediment,7,0,0,0,0,0,0
Centre-Val de Loire,2017,Surface water,211,0,198,97,0,93.8388625592417,45.97156398104265
Centre-Val de Loire,2018,Biota,32,0,0,0,0,0,0
Centre-Val de Loire,2018,Groundwater,11,0,0,0,0,0,0
Centre-Val de Loire,2018,Sediment,8,0,0,0,0,0,0
Centre-Val de Loire,2018,Surface water,158,0,134,51,0,84.81012658227847,32.278481012658226
Centre-Val de Loire,2019,Biota,4,0,0,0,0,0,0
Centre-Val de Loire,2019,Groundwater,16,0,0,0,0,0,0
Centre-Val de Loire,2019,Sediment,1,0,0,0,0,0,0
Centre-Val de Loire,2019,Surface water,311,0,258,92,0,82.95819935691318,29.581993569131832
Centre-Val de Loire,2020,Biota,3,0,0,0,0,0,0
Centre-Val de Loire,2020,Groundwater,22,0,0,0,0,0,0
Centre-Val de Loire,2020,Surface water,333,0,279,115,0,83.78378378378379,34.53453453453454
Centre-Val de Loire,2021,Biota,8,0,0,0,0,0,0
Centre-Val de Loire,2021,Groundwater,26,0,0,0,0,0,0
Centre-Val de Loire,2021,Sediment,1,0,0,0,0,0,0
Centre-Val de Loire,2021,Surface water,382,0,225,69,0,58.90052356020943,18.06282722513089
Centre-Val de Loire,2022,Biota,7,0,0,0,0,0,0
Centre-Val de Loire,2022,Groundwater,26,0,0,0,0,0,0
Centre-Val de Loire,2022,Sediment,1,0,0,0,0,0,0
Centre-Val de Loire,2022,Surface water,342,0,312,139,0,91.2280701754386,40.643274853801174
Centre-Val de Loire,2023,Biota,4,0,0,0,0,0,0
Centre-Val de Loire,2023,Groundwater,46,0,0,0,0,0,0
Centre-Val de Loire,2023,Surface water,302,0,232,117,0,76.82119205298014,38.74172185430464
Centre-Val de Loire,2024,Drinking water,3,0,2,0,0,66.66666666666666,0
Centre-Val de Loire,2024,Groundwater,64,0,0,0,0,0,0
Centre-Val de Loire,2024,Surface water,217,0,171,59,0,78.80184331797236,27.188940092165897
Centre-Val de Loire,2024,Unknown,2,0,0,0,0,0,0
Corse,2018,Groundwater,3,0,0,0,0,0,0
Corse,2018,Surface water,3,0,0,0,0,0,0
Corse,2019,Groundwater,5,0,0,0,0,0,0
Corse,2019,Surface water,4,0,0,0,0,0,0
Corse,2020,Groundwater,4,0,0,0,0,0,0
Corse,2020,Surface water,2,0,0,0,0,0,0
Corse,2021,Groundwater,4,0,0,0,0,0,0
Corse,2021,Surface water,2,0,0,0,0,0,0
Corse,2022,Groundwater,3,0,0,0,0,0,0
Corse,2022,Surface water,10,0,7,3,0,70,30
Corse,2023,Groundwater,5,0,0,0,0,0,0
Corse,2023,Surface water,9,0,6,4,0,66.66666666666666,44.44444444444444
