region,year,matrix,total_prelevements,non_conformes_France,non_conformes_Danemark,non_conformes_USA,pourcentage_France,pourcentage_Danemark,pourcentage_USA
Bourgogne-Franche-Comté,2018,Surface water,417,0,0,0,0,0,0
Bourgogne-Franche-Comté,2019,Biota,13,13,13,13,100,100,100
Bourgogne-Franche-Comté,2019,Groundwater,40,0,25,1,0,62.5,2.5
Bourgogne-Franche-Comté,2019,Sediment,1,1,1,1,100,100,100
Bourgogne-Franche-Comté,2019,Surface water,258,0,0,0,0,0,0
Bourgogne-Franche-Comté,2020,Biota,7,7,7,7,100,100,100
Bourgogne-Franche-Comté,2020,Groundwater,50,0,36,1,0,72,2
Bourgogne-Franche-Comté,2020,Surface water,465,0,0,0,0,0,0
Bourgogne-Franche-Comté,2021,Biota,9,9,9,9,100,100,100
Bourgogne-Franche-Comté,2021,Groundwater,69,0,44,0,0,63.76811594202898,0
Bourgogne-Franche-Comté,2021,Surface water,271,0,0,0,0,0,0
Bourgogne-Franche-Comté,2022,Biota,30,14,28,28,46.666666666666664,93.33333333333333,93.33333333333333
Bourgogne-Franche-Comté,2022,Groundwater,66,0,47,1,0,71.21212121212122,1.5151515151515151
Bourgogne-Franche-Comté,2022,Surface water,565,0,0,0,0,0,0
Bourgogne-Franche-Comté,2023,Biota,9,5,9,9,55.55555555555556,100,100
Bourgogne-Franche-Comté,2023,Groundwater,141,0,113,7,0,80.1418439716312,4.964539007092199
Bourgogne-Franche-Comté,2023,Surface water,445,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Biota,4,1,4,4,25,100,100
Bourgogne-Franche-Comté,2024,Drinking water,9,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Groundwater,150,0,90,3,0,60,2
Bourgogne-Franche-Comté,2024,Surface water,232,0,0,0,0,0,0
Bretagne,2009,Surface water,3,0,0,0,0,0,0
Bretagne,2010,Surface water,1,0,0,0,0,0,0
Bretagne,2011,Groundwater,10,0,5,0,0,50,0
Bretagne,2016,Sediment,5,5,5,3,100,100,60
Bretagne,2017,Groundwater,13,0,9,2,0,69.23076923076923,15.384615384615385
Bretagne,2017,Sediment,10,10,10,10,100,100,100
Bretagne,2018,Biota,27,27,27,27,100,100,100
Bretagne,2018,Groundwater,26,0,16,1,0,61.53846153846154,3.8461538461538463
Bretagne,2018,Surface water,12,0,0,0,0,0,0
Bretagne,2019,Biota,1,1,1,1,100,100,100
Bretagne,2019,Groundwater,39,0,31,2,0,79.48717948717949,5.128205128205128
Bretagne,2019,Sediment,2,0,0,0,0,0,0
Bretagne,2019,Surface water,182,0,0,0,0,0,0
Bretagne,2020,Biota,1,1,1,1,100,100,100
Bretagne,2020,Groundwater,17,0,14,1,0,82.35294117647058,5.88235294117647
Bretagne,2020,Surface water,255,0,0,0,0,0,0
Bretagne,2021,Groundwater,22,0,16,2,0,72.72727272727273,9.090909090909092
Bretagne,2021,Sediment,1,1,1,0,100,100,0
Bretagne,2021,Surface water,298,0,0,0,0,0,0
Bretagne,2022,Groundwater,11,0,10,0,0,90.9090909090909,0
Bretagne,2022,Sediment,1,1,1,1,100,100,100
Bretagne,2022,Surface water,163,0,0,0,0,0,0
Bretagne,2023,Biota,6,5,5,5,83.33333333333334,83.33333333333334,83.33333333333334
Bretagne,2023,Groundwater,20,0,17,3,0,85,15
Bretagne,2023,Sediment,1,1,1,1,100,100,100
Bretagne,2023,Surface water,136,0,0,0,0,0,0
Bretagne,2024,Biota,1,0,1,1,0,100,100
Bretagne,2024,Drinking water,2,0,0,0,0,0,0
Bretagne,2024,Groundwater,20,0,17,2,0,85,10
Bretagne,2024,Surface water,8,0,0,0,0,0,0
Centre-Val de Loire,2009,Groundwater,4,0,4,0,0,100,0
Centre-Val de Loire,2009,Surface water,6,0,0,0,0,0,0
Centre-Val de Loire,2010,Groundwater,3,0,3,0,0,100,0
Centre-Val de Loire,2010,Surface water,2,0,0,0,0,0,0
Centre-Val de Loire,2011,Groundwater,7,0,2,0,0,28.57142857142857,0
Centre-Val de Loire,2013,Surface water,1,0,0,0,0,0,0
Centre-Val de Loire,2015,Sediment,3,3,3,3,100,100,100
Centre-Val de Loire,2016,Surface water,169,0,0,0,0,0,0
Centre-Val de Loire,2017,Groundwater,23,0,11,0,0,47.82608695652174,0
Centre-Val de Loire,2017,Sediment,7,6,6,6,85.71428571428571,85.71428571428571,85.71428571428571
Centre-Val de Loire,2017,Surface water,211,0,0,0,0,0,0
Centre-Val de Loire,2018,Biota,32,32,32,32,100,100,100
Centre-Val de Loire,2018,Groundwater,11,0,8,0,0,72.72727272727273,0
Centre-Val de Loire,2018,Sediment,8,2,2,2,25,25,25
Centre-Val de Loire,2018,Surface water,158,0,0,0,0,0,0
Centre-Val de Loire,2019,Biota,4,4,4,4,100,100,100
Centre-Val de Loire,2019,Groundwater,16,0,8,0,0,50,0
Centre-Val de Loire,2019,Sediment,1,1,1,1,100,100,100
Centre-Val de Loire,2019,Surface water,311,0,0,0,0,0,0
Centre-Val de Loire,2020,Biota,3,3,3,3,100,100,100
Centre-Val de Loire,2020,Groundwater,22,0,14,0,0,63.63636363636363,0
Centre-Val de Loire,2020,Surface water,333,0,0,0,0,0,0
Centre-Val de Loire,2021,Biota,8,8,8,8,100,100,100
Centre-Val de Loire,2021,Groundwater,26,0,15,0,0,57.692307692307686,0
